Time,ParameterName,ParameterValue
2022-12-02T10:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T10:00:00Z,WS_PT1H_AVG,2.5
2022-12-02T10:00:00Z,WS_PT1H_MAX,2.8
2022-12-02T10:00:00Z,WS_PT1H_MIN,2.0
2022-12-02T10:00:00Z,WD_PT1H_AVG,64.0
2022-12-02T10:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T10:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T10:00:00Z,PA_PT1H_AVG,1041.9
2022-12-02T10:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T11:00:00Z,TA_PT1H_AVG,-3.7
2022-12-02T11:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T11:00:00Z,TA_PT1H_MIN,-3.8
2022-12-02T11:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T11:00:00Z,WS_PT1H_AVG,2.4
2022-12-02T11:00:00Z,WS_PT1H_MAX,2.8
2022-12-02T11:00:00Z,WS_PT1H_MIN,2.1
2022-12-02T11:00:00Z,WD_PT1H_AVG,88.0
2022-12-02T11:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T11:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T11:00:00Z,PA_PT1H_AVG,1041.8
2022-12-02T11:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T12:00:00Z,TA_PT1H_AVG,-3.8
2022-12-02T12:00:00Z,TA_PT1H_MAX,-3.7
2022-12-02T12:00:00Z,TA_PT1H_MIN,-3.9
2022-12-02T12:00:00Z,RH_PT1H_AVG,96.0
2022-12-02T12:00:00Z,WS_PT1H_AVG,2.1
2022-12-02T12:00:00Z,WS_PT1H_MAX,2.7
